"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Series"
"Conference Paper","Ferreira F,Silva LL,Valente MT","Software engineering meets deep learning: a mapping study","","2021","","","1542–1549","Association for Computing Machinery","New York, NY, USA","Proceedings of the 36th Annual ACM Symposium on Applied Computing","Virtual Event, Republic of Korea","2021","9781450381048","","https://doi.org/10.1145/3412841.3442029;http://dx.doi.org/10.1145/3412841.3442029","10.1145/3412841.3442029","Deep Learning (DL) is being used nowadays in many traditional Software Engineering (SE) problems and tasks. However, since the renaissance of DL techniques is still very recent, we lack works that summarize and condense the most recent and relevant research conducted at the intersection of DL and SE. Therefore, in this paper, we describe the first results of a mapping study covering 81 papers about DL & SE. Our results confirm that DL is gaining momentum among SE researchers over the years and that the top-3 research problems tackled by the analyzed papers are documentation, defect prediction, and testing.","deep learning, software engineering","SAC '21"
"Conference Paper","Nguyen AT,Le TH,Babar MA","Automated Code-centric Software Vulnerability Assessment: How Far Are We? An Empirical Study in C/C++","","2024","","","72–83","Association for Computing Machinery","New York, NY, USA","Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","Barcelona, Spain","2024","","","https://doi.org/10.1145/3674805.3686670;http://dx.doi.org/10.1145/3674805.3686670","10.1145/3674805.3686670","Background: The C/C++ languages hold significant importance in Software Engineering research because of their widespread use in practice. Numerous studies have utilized Machine Learning (ML) and Deep Learning (DL) techniques to detect software vulnerabilities (SVs) in the source code written in these languages. However, the application of these techniques in function-level SV assessment has been largely unexplored. SV assessment is increasingly crucial as it provides detailed information on the exploitability, impacts, and severity of security defects, thereby aiding in their prioritization and remediation. Aims: We conduct the first empirical study to investigate and compare the performance of ML and DL models, many of which have been used for SV detection, for function-level SV assessment in C/C++. Method: Using 9,993 vulnerable C/C++ functions, we evaluated the performance of six multi-class ML models and five multi-class DL models for the SV assessment at the function level based on the Common Vulnerability Scoring System (CVSS). We further explore multi-task learning, which can leverage common vulnerable code to predict all SV assessment outputs simultaneously in a single model, and compare the effectiveness and efficiency of this model type with those of the original multi-class models. Results: We show that ML has matching or even better performance compared to the multi-class DL models for function-level SV assessment with significantly less training time. Employing multi-task learning allows the DL models to perform significantly better, with an average of 8–22% increase in Matthews Correlation Coefficient (MCC), than the multi-class models. Conclusions: We distill the practices of using data-driven techniques for function-level SV assessment in C/C++, including the use of multi-task DL to balance efficiency and effectiveness. This can establish a strong foundation for future work in this area.","Deep Learning, Machine Learning, Mining Software Repositories, Security Vulnerability, Vulnerability Assessment","ESEM '24"
"Journal Article","Ding Z,Li H,Shang W,Chen TH","Towards Learning Generalizable Code Embeddings Using Task-agnostic Graph Convolutional Networks","ACM Trans. Softw. Eng. Methodol.","2023","32","2","","Association for Computing Machinery","New York, NY, USA","","","2023-03","","1049-331X","https://doi.org/10.1145/3542944;http://dx.doi.org/10.1145/3542944","10.1145/3542944","Code embeddings have seen increasing applications in software engineering (SE) research and practice recently. Despite the advances in embedding techniques applied in SE research, one of the main challenges is their generalizability. A recent study finds that code embeddings may not be readily leveraged for the downstream tasks that the embeddings are not particularly trained for. Therefore, in this article, we propose GraphCodeVec, which represents the source code as graphs and leverages the Graph Convolutional Networks to learn more generalizable code embeddings in a task-agnostic manner. The edges in the graph representation are automatically constructed from the paths in the abstract syntax trees, and the nodes from the tokens in the source code. To evaluate the effectiveness of GraphCodeVec , we consider three downstream benchmark tasks (i.e., code comment generation, code authorship identification, and code clones detection) that are used in a prior benchmarking of code embeddings and add three new downstream tasks (i.e., source code classification, logging statements prediction, and software defect prediction), resulting in a total of six downstream tasks that are considered in our evaluation. For each downstream task, we apply the embeddings learned by GraphCodeVec and the embeddings learned from four baseline approaches and compare their respective performance. We find that GraphCodeVec outperforms all the baselines in five out of the six downstream tasks, and its performance is relatively stable across different tasks and datasets. In addition, we perform ablation experiments to understand the impacts of the training context (i.e., the graph context extracted from the abstract syntax trees) and the training model (i.e., the Graph Convolutional Networks) on the effectiveness of the generated embeddings. The results show that both the graph context and the Graph Convolutional Networks can benefit GraphCodeVec in producing high-quality embeddings for the downstream tasks, while the improvement by Graph Convolutional Networks is more robust across different downstream tasks and datasets. Our findings suggest that future research and practice may consider using graph-based deep learning methods to capture the structural information of the source code for SE tasks.","neural network, code embeddings, source code representation, Machine learning",""
"Journal Article","Zhang H,Fu Z,Li G,Ma L,Zhao Z,Yang H,Sun Y,Liu Y,Jin Z","Towards Robustness of Deep Program Processing Models—Detection, Estimation, and Enhancement","ACM Trans. Softw. Eng. Methodol.","2022","31","3","","Association for Computing Machinery","New York, NY, USA","","","2022-04","","1049-331X","https://doi.org/10.1145/3511887;http://dx.doi.org/10.1145/3511887","10.1145/3511887","Deep learning (DL) has recently been widely applied to diverse source code processing tasks in the software engineering (SE) community, which achieves competitive performance (e.g., accuracy). However, the robustness, which requires the model to produce consistent decisions given minorly perturbed code inputs, still lacks systematic investigation as an important quality indicator. This article initiates an early step and proposes a framework CARROT for robustness detection, measurement, and enhancement of DL models for source code processing. We first propose an optimization-based attack technique CARROTA to generate valid adversarial source code examples effectively and efficiently. Based on this, we define the robustness metrics and propose robustness measurement toolkit CARROTM, which employs the worst-case performance approximation under the allowable perturbations. We further propose to improve the robustness of the DL models by adversarial training (CARROTT) with our proposed attack techniques. Our in-depth evaluations on three source code processing tasks (i.e., functionality classification, code clone detection, defect prediction) containing more than 3 million lines of code and the classic or SOTA DL models, including GRU, LSTM, ASTNN, LSCNN, TBCNN, CodeBERT, and CDLH, demonstrate the usefulness of our techniques for ❶ effective and efficient adversarial example detection, ❷ tight robustness estimation, and ❸ effective robustness enhancement.","robustness enhancement, adversarial attack, big code, Source code processing",""
"Conference Paper","Hoang T,Dam HK,Kamei Y,Lo D,Ubayashi N","DeepJIT: an end-to-end deep learning framework for just-in-time defect prediction","","2019","","","34–45","IEEE Press","Montreal, Quebec, Canada","Proceedings of the 16th International Conference on Mining Software Repositories","","2019","","","https://doi.org/10.1109/MSR.2019.00016;http://dx.doi.org/10.1109/MSR.2019.00016","10.1109/MSR.2019.00016","Software quality assurance efforts often focus on identifying defective code. To find likely defective code early, change-level defect prediction - aka. Just-In-Time (JIT) defect prediction - has been proposed. JIT defect prediction models identify likely defective changes and they are trained using machine learning techniques with the assumption that historical changes are similar to future ones. Most existing JIT defect prediction approaches make use of manually engineered features. Unlike those approaches, in this paper, we propose an end-to-end deep learning framework, named DeepJIT, that automatically extracts features from commit messages and code changes and use them to identify defects. Experiments on two popular software projects (i.e., QT and OPENSTACK) on three evaluation settings (i.e., cross-validation, short-period, and long-period) show that the best variant of DeepJIT (DeepJIT-Combined), compared with the best performing state-of-the-art approach, achieves improvements of 10.36--11.02% for the project QT and 9.51--13.69% for the project OPENSTACK in terms of the Area Under the Curve (AUC).","","MSR '19"
"Conference Paper","Lyu MR","AI Techniques in Software Engineering Paradigm","","2018","","","2","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2018 ACM/SPEC International Conference on Performance Engineering","Berlin, Germany","2018","9781450350952","","https://doi.org/10.1145/3184407.3184440;http://dx.doi.org/10.1145/3184407.3184440","10.1145/3184407.3184440","In the next decade, Artificial Intelligent (AI) techniques can see wide adoption in our daily life to release human burden. In our recent Software Engineering research, we investigated on the design of novel AI methods to facilitate all three major phases in software engineering: development, operation, and analysis. In this talk, I will first introduce the AI techniques we employed, including machine learning framework, classification, clustering, matrix factorization, topic modeling, deep learning, and parallel computing platform. Then I will explain the challenges in each phase and describe our recently proposed methodologies. First in development phase, we suggested an automated code completion technique via deep learning. Our technique learns the code style from lots of existing code bases, and recommends the most suitable token based on the trained deep learning model and current coding context. Besides, to help developers in conducting effective logging, we designed a tool named LogAdvisor, which tells developers whether they should write a logging statement in the current code block or not. Secondly, in operation phase, we implemented a continuous and passive authentication method for mobile phones based on user touch biometrics. Different from the traditional password authentication scheme, our method can recognize malicious attackers based on abnormal user behaviors. Moreover, we developed PAID, which automatically prioritizes app issues by mining user reviews. Finally, in analysis phase, we designed systematic data analytics techniques for software reliability prediction. Besides, to make full use of the crucial runtime information, we proposed effective methods for every step in log analysis, including log parsing, feature extraction, and log mining. Furthermore, we developed a CNN-based defect prediction method to help developers find the buggy code. In the end, we expect to establish a comprehensive framework for systematic employment of AI techniques in the Software Engineering paradigm.","software engineering, artificial intelligence","ICPE '18"
"Conference Paper","Dam HK,Pham T,Ng SW,Tran T,Grundy J,Ghose A,Kim T,Kim CJ","Lessons learned from using a deep tree-based model for software defect prediction in practice","","2019","","","46–57","IEEE Press","Montreal, Quebec, Canada","Proceedings of the 16th International Conference on Mining Software Repositories","","2019","","","https://doi.org/10.1109/MSR.2019.00017;http://dx.doi.org/10.1109/MSR.2019.00017","10.1109/MSR.2019.00017","Defects are common in software systems and cause many problems for software users. Different methods have been developed to make early prediction about the most likely defective modules in large codebases. Most focus on designing features (e.g. complexity metrics) that correlate with potentially defective code. Those approaches however do not sufficiently capture the syntax and multiple levels of semantics of source code, a potentially important capability for building accurate prediction models. In this paper, we report on our experience of deploying a new deep learning tree-based defect prediction model in practice. This model is built upon the tree-structured Long Short Term Memory network which directly matches with the Abstract Syntax Tree representation of source code. We discuss a number of lessons learned from developing the model and evaluating it on two datasets, one from open source projects contributed by our industry partner Samsung and the other from the public PROMISE repository.","defect prediction, deep learning","MSR '19"
"Conference Paper","Wang S,Liu T,Tan L","Automatically learning semantic features for defect prediction","","2016","","","297–308","Association for Computing Machinery","New York, NY, USA","Proceedings of the 38th International Conference on Software Engineering","Austin, Texas","2016","9781450339001","","https://doi.org/10.1145/2884781.2884804;http://dx.doi.org/10.1145/2884781.2884804","10.1145/2884781.2884804","Software defect prediction, which predicts defective code regions, can help developers find bugs and prioritize their testing efforts. To build accurate prediction models, previous studies focus on manually designing features that encode the characteristics of programs and exploring different machine learning algorithms. Existing traditional features often fail to capture the semantic differences of programs, and such a capability is needed for building accurate prediction models.To bridge the gap between programs' semantics and defect prediction features, this paper proposes to leverage a powerful representation-learning algorithm, deep learning, to learn semantic representation of programs automatically from source code. Specifically, we leverage Deep Belief Network (DBN) to automatically learn semantic features from token vectors extracted from programs' Abstract Syntax Trees (ASTs).Our evaluation on ten open source projects shows that our automatically learned semantic features significantly improve both within-project defect prediction (WPDP) and cross-project defect prediction (CPDP) compared to traditional features. Our semantic features improve WPDP on average by 14.7% in precision, 11.5% in recall, and 14.2% in F1. For CPDP, our semantic features based approach outperforms the state-of-the-art technique TCA+ with traditional features by 8.9% in F1.","","ICSE '16"
"Conference Paper","Ibrahim RF,Qusef A","Software Bug Count Prediction Using Abstract Syntax Trees (ASTs)","","2025","","","39–45","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2024 13th International Conference on Software and Information Engineering","","2025","","","https://doi.org/10.1145/3708635.3708652;http://dx.doi.org/10.1145/3708635.3708652","10.1145/3708635.3708652","Predicting software defects is important for ensuring high-quality software delivery. This proposed study investigates the effectiveness of deep learning models in predicting software bug counts compared to traditional machine learning models. We concentrated our investigation on two fundamental questions: (1) Can deep learning techniques surpass traditional machine learning approaches in accurately predicting bug counts in software modules via regression analysis? (2) In the context of regression-based bug count prediction, does a deep learning model that leverages features extracted from Abstract Syntax Trees (ASTs) demonstrate superior performance compared to one that relies on Object-Oriented (OO) metrics? To address RQ-1, we trained layered Long Short-Term Memory (LSTM) networks and Convolutional Neural Networks (CNNs) on (17) OO metrics from the PROMISE and SPSC datasets and compared their performance. For RQ-2, we extracted relevant features from ASTs using specific node types and combined them with the OO metrics to train the LSTM and CNN models. Four experiments were conducted: LSTM on OO metrics, LSTM on AST features, CNN on OO metrics, and CNN on AST features. Evaluation using Mean Absolute Error (MAE) and Mean Relative Error (MRE) showed that deep learning models outperformed traditional machine learning models, with layered LSTM and CNN models trained on combined OO metrics and AST features achieving the best defect predictive accuracy. These findings highlight the potential of deep learning approaches in software defect prediction and show the importance of feature selection in achieving optimal results.","Bug Prediction, Abstract Syntax Tree (AST), LSTM, Object-Oriented (OO) Matrices.","ICSIE '24"
"Journal Article","Bal PR,Kumar S","Cross Project Defect Prediction using Dropout Regularized Deep Learning and Unique Matched Metrics","ACM Trans. Manage. Inf. Syst.","2025","16","3","","Association for Computing Machinery","New York, NY, USA","","","2025-05","","2158-656X","https://doi.org/10.1145/3698109;http://dx.doi.org/10.1145/3698109","10.1145/3698109","The primary goal of software defect prediction (SDP) is to predict the software defects for a specific software using historical data or data from past releases of software projects. The existing state of arts on SDP primarily discusses two prediction scenarios: Within-project Defect Prediction (WPDP) and Cross-project Defect Prediction (CPDP). The prediction model belongs to the WPDP scenario, which means that the model is trained and tested on different parts of the same dataset or trained on the dataset belonging to the previous version of the same project. While in the CPDP scenario, training and testing occur on different software project datasets. Due to the unavailability of historical datasets or prior releases of software defect datasets, CPDP is more useful in real-life scenarios. So, CPDP analysis is a very challenging issue in the SDP domain. Sometimes, machine learning (ML) models perform poorly due to inadequate training in the CPDP scenario. To support better CPDP performance, we must carefully build an ML model focusing on lower training error and overfitting issues. To address these issues, we have proposed a cross-project data preprocessing method to correlate the metrics of different project datasets, namely, Unique Selection of Matched Metrics (USMM), using the KS test and Hungarian method. To further improve the CPDP performance, we have also used the dropout regularized deep learning (DRDL) model. We have deployed 34 software defect datasets to validate the DRDL model and USMM method. The experimental results demonstrate that the DRDL model using the USMM method (DRDL-USMM) is a promising model to enhance the prediction accuracy, and an improvement in the range of 3.3% to 8.5% as compared to the existing works in the CPDP scenario has been found.","Deep learning, cross project defect prediction, correlated matched metrics, dropout regularization",""
"Journal Article","Ye J,Li Z,Tang X,Zou D,Xu S,Qiang W,Jin H","A Causal Learning Framework for Enhancing Robustness of Source Code Models","Proc. ACM Softw. Eng.","2025","2","FSE","","Association for Computing Machinery","New York, NY, USA","","","2025-06","","","https://doi.org/10.1145/3729387;http://dx.doi.org/10.1145/3729387","10.1145/3729387","Deep Learning (DL) models are useful for many software engineering tasks. However, these models are susceptible to adversarial attacks, partly because they learn spurious features that incur spurious correlations between these features and model predictions. In this paper, we tackle the problem with a novel causal learning framework, dubbed CausalCode, which leverages causal inference principles to mitigate spurious correlations. At a high level, CausalCode can be characterized as follows: (i) it uses causal data augmentation to generate intervention examples to disrupt spurious correlations; (ii) it leverages regularization to learn invariant representations that prefer causal features to spurious features; (iii) it can enhance the robustness of multiple DL models for source code-based software engineering tasks because it is task-agnostic and model-agnostic. To evaluate its effectiveness, we conduct comprehensive experiments on two models (i.e., CodeBERT and GraphCodeBERT), with respect to four software engineering tasks (i.e., defect detection, functionality classification, code translation, and code repair). Experimental results show that CausalCode outperforms the state-of-the-art approaches in enhancing the robustness of these models.","Adversarial Robustness, Causal Learning, Code Models",""
