Item type,Authors,Title,Journal,Publication year,DOI,URLs,Volume,Issue,Pages,Date published,ISSN,Abstract,Keywords,Notes
Journal Article,"Long W,Qixin Z,Zakharov MA,Lee S",Optimizing fault prediction in software based on MnasNet/LSTM optimized by an improved lotus flower algorithm,Egyptian Informatics Journal,2025,10.1016/j.eij.2025.100623,http://dx.doi.org/10.1016/j.eij.2025.100623;https://www.sciencedirect.com/science/article/pii/S1110866525000167,29,,100623,2025,1110-8665,"Software quality and reliability are very important problems in the field of software production. Software error and defect detection technology is one of the most important research goals in the field of software system reliability that prevents software failure. Therefore, the performance of the defect prediction model in order to accurately predict defects is important in improving and effectiveness of models. In this paper, an attempt has been made to present a hybrid and efficient classification model based on deep learning and metaheuristic models for predicting defects of software. The basis of the suggested model is utilizing a combination of MnasNet (for extracting the semantics of AST tokens) and LSTM (for keeping the key features). It has been improved with the help of an improved variant of Lotus Flower Algorithm (ILFA) so that appropriate coefficients and acceptable results can be produced with the optimization power of metaheuristic algorithms and the learning power of the network. For evaluating the results of the suggested model, the model is applied to a practical dataset and the results are compared with some different methods. The new combined model worked best for the Xerces project, reaching 93% accuracy, which was much better than other models. It also performed well on different projects, improving accuracy by 3.3% to 7.9% after cleaning the data and fixing the issue of uneven class sizes. The results indicate that the proposed model can achieve the highest values ​​of efficiency.","Faults, Defect, Prediction, MnasNet, Long short-term memory, Improved Lotus Flower Algorithm",
Journal Article,"Mehta S,Kumar L,Misra S,Patnaik KS,Singh V",Nested deep learning with learned network embeddings for software defect prediction,Applied Soft Computing,2025,10.1016/j.asoc.2025.113057,http://dx.doi.org/10.1016/j.asoc.2025.113057;https://www.sciencedirect.com/science/article/pii/S1568494625003680,174,,113057,2025,1568-4946,"Existing software (SW) defect prediction approaches and the models are majorly based on features extracted from the code of the software to build defect datasets for predictive modeling. However, these models fail to sufficiently capture the complex, latent dependencies within the software components, which acts as a hindrance in achieving higher predictive accuracy. This study introduces an improved defect prediction model, the Nested Deep Learning (NDL) model, that leverages network embeddings from call graphs for enhanced representation of intricate hierarchical class dependencies and interactions. This work evaluates six network-embedding algorithms by applying them to call graphs of 10 real software projects, generating embeddings of dimensions 32 and 128. A total of 50 NDL models—with and without dropout layers—are developed, and a comparative evaluation of these models is conducted against traditional classifier-based models. This evaluation demonstrated the superiority of the NDL model with dropout, achieving a mean AUC of 0.87, an 8.98 % improvement over the traditional classifier-based models. Among the evaluated embedding methods, LINE embeddings outperformed others, and integrating network embeddings with software metrics led to a 15.85 % AUC improvement over using software metrics alone. The optimal configuration—combining software metrics with LINE embeddings (dimension 128) in an NDL model with three deep learning layers and dropout—achieved a mean AUC of 0.93, surpassing all other configurations by 3.33–14.81 %. This study is the first to validate the effectiveness of a nested deep learning framework for modeling call graph dependencies through network embeddings, providing a scalable and robust approach for improving software defect prediction.","Software defect prediction, Nested deep learning, Network embedding, Deep neural network, Call graph",
Journal Article,"Zhou T,Sun X,Xia X,Li B,Chen X",Improving defect prediction with deep forest,Information and Software Technology,2019,10.1016/j.infsof.2019.07.003,http://dx.doi.org/10.1016/j.infsof.2019.07.003;https://www.sciencedirect.com/science/article/pii/S0950584919301466,114,,204-216,2019,0950-5849,"Context Software defect prediction is important to ensure the quality of software. Nowadays, many supervised learning techniques have been applied to identify defective instances (e.g., methods, classes, and modules). Objective However, the performance of these supervised learning techniques are still far from satisfactory, and it will be important to design more advanced techniques to improve the performance of defect prediction models. Method We propose a new deep forest model to build the defect prediction model (DPDF). This model can identify more important defect features by using a new cascade strategy, which transforms random forest classifiers into a layer-by-layer structure. This design takes full advantage of ensemble learning and deep learning. Results We evaluate our approach on 25 open source projects from four public datasets (i.e., NASA, PROMISE, AEEEM and Relink). Experimental results show that our approach increases AUC value by 5% compared with the best traditional machine learning algorithms. Conclusion The deep strategy in DPDF is effective for software defect prediction.","Software defect prediction, Deep forest, Cascade strategy, Empirical evaluation",
Journal Article,"Fei Q,Hu H,Yin G,Sun Z",A Software Defect Prediction Method Using a Multivariate Heterogeneous Hybrid Deep Learning Algorithm,"Computers, Materials and Continua",2025,10.32604/cmc.2024.058931,http://dx.doi.org/10.32604/cmc.2024.058931;https://www.sciencedirect.com/science/article/pii/S1546221825000724,82,2,3251-3279,2025,1546-2218,"Software defect prediction plays a critical role in software development and quality assurance processes. Effective defect prediction enables testers to accurately prioritize testing efforts and enhance defect detection efficiency. Additionally, this technology provides developers with a means to quickly identify errors, thereby improving software robustness and overall quality. However, current research in software defect prediction often faces challenges, such as relying on a single data source or failing to adequately account for the characteristics of multiple coexisting data sources. This approach may overlook the differences and potential value of various data sources, affecting the accuracy and generalization performance of prediction results. To address this issue, this study proposes a multivariate heterogeneous hybrid deep learning algorithm for defect prediction (DP-MHHDL). Initially, Abstract Syntax Tree (AST), Code Dependency Network (CDN), and code static quality metrics are extracted from source code files and used as inputs to ensure data diversity. Subsequently, for the three types of heterogeneous data, the study employs a graph convolutional network optimization model based on adjacency and spatial topologies, a Convolutional Neural Network-Bidirectional Long Short-Term Memory (CNN-BiLSTM) hybrid neural network model, and a TabNet model to extract data features. These features are then concatenated and processed through a fully connected neural network for defect prediction. Finally, the proposed framework is evaluated using ten promise defect repository projects, and performance is assessed with three metrics: F1, Area under the curve (AUC), and Matthews correlation coefficient (MCC). The experimental results demonstrate that the proposed algorithm outperforms existing methods, offering a novel solution for software defect prediction.","Software defect prediction, multiple heterogeneous data, graph convolutional network models based on adjacency and spatial topologies, CNN-BiLSTM, TabNet",
Journal Article,"Zhang F,Che Y,Liang T,Jiang W",Clone consistent-defect prediction based on deep learning method,Information Sciences,2023,10.1016/j.ins.2023.03.007,http://dx.doi.org/10.1016/j.ins.2023.03.007;https://www.sciencedirect.com/science/article/pii/S0020025523003031,633,,357-369,2023,0020-0255,"Many consistent changes take place across code clones in software, and this has emerged as a severe issue for software security. If the developers forget to modify the relevant clones consistently, such modifications will introduce consistent-defect. Researchers leverage machine learning techniques to predict clone consistent-defect by representing these changes with the designed attributes. Meanwhile, deep learning technology has demonstrated tremendous potential in characterizing source code. As such, we explore whether deep learning technology can enhance the effectiveness of clone consistent-defect prediction. In this study, we investigate various neural networks for modeling clone consistent change. Specifically, our approach models code clones and their evolution to capture the semantic properties automatically from the perspectives of clone fragment, clone group, and clone evolution, as opposed to manually generated attributes. To evaluate the effectiveness of our approach, we conduct an experiment on the dataset collected from 8 open-source projects. The results demonstrate that our neural network models are efficient both in cross-project and within-project scenarios, with F-measures of around 80% and recalls of around 90%. We conclude that deep learning technology may successfully assist developers in predicting clone consistent-defect, so helping to improve the security of code clones by alerting developers to confirm their consistency.","Clone consistent change, Consistent-defect, Software maintenance, Software safety, Deep learning",
Journal Article,"He H,Xu H,Zhao G,Huang G,Zhao B",Towards structured semantic representation via hierarchical transformer network for software defect prediction,Journal of Systems and Software,2026,10.1016/j.jss.2025.112672,http://dx.doi.org/10.1016/j.jss.2025.112672;https://www.sciencedirect.com/science/article/pii/S0164121225003413,232,,112672,2026,0164-1212,"In recent years, deep learning techniques have gained widespread adoption in source code defect prediction. Nevertheless, significant challenges persist in effectively capturing and representing the structural characteristics inherent in programming code. Primary limitations include: (i) text sequence-based models frequently inadequately represent the distinctive structural properties of source code, and (ii) approaches dependent on compiler-generated structural representations exhibit substantial toolchain dependencies. This makes them difficult to apply to languages lacking mature compilers or to non-standard code samples. This paper addresses these challenges by systematically analyzing the fundamental differences between source code and natural language text. We propose a compiler-independent hierarchical representation method for source code. Additionally, we introduce an adaptive, layered defect prediction model named Hierarchical Transformer Network, which learns structured contextual semantic information for function-level defect detection. Experimental results on two widely used real-world datasets, CWE and CodeXGLUE, show that our method outperforms baseline models. Specifically, we observe improvements of 5.11 % and 8.58 % in AUC-ROC, respectively. Compared to the standard Transformer model, our method significantly reduces the computational resources required. The unique two-dimensional hierarchical structure enables the model to capture longer contexts with fewer resources. This approach greatly lowers the computational and learning costs for both model usage and research.","Defect prediction, Structured representation, Attention mechanism, Transformer",
Journal Article,"Chen X,Xia H,Pei W,Ni C,Liu K",Boosting multi-objective just-in-time software defect prediction by fusing expert metrics and semantic metrics,Journal of Systems and Software,2023,10.1016/j.jss.2023.111853,http://dx.doi.org/10.1016/j.jss.2023.111853;https://www.sciencedirect.com/science/article/pii/S0164121223002480,206,,111853,2023,0164-1212,"Just-in-time software defect prediction (JIT-SDP) aims to predict whether a code commit is defect-inducing or defect-clean immediately after developers submit their code commits. In our previous study, we modeled JIT-SDP as a multi-objective optimization problem by designing two potential conflict optimization objectives. By only considering expert metrics for code commits, our proposed multi-objective just-in-time software defect prediction (MOJ-SDP) approach can significantly outperform state-of-the-art supervised and unsupervised baselines. Recent studies have shown that deep learning techniques can be used to automatically extract semantic metrics from code commits and achieved promising performance for JIT-SDP. However, it is unclear how well MOJ-SDP performs when semantic metrics are used, and whether these two types of metrics are complementary and can be boosted by fusing them for MOJ-SDP. We conducted an extensive experiment using 27,319 code commits from 21 real-world open-source projects. Our results show that when using semantic features, the performance of MOJ-SDP can be slightly decreased for Popt, but greatly improved for Recall@20%Effort. However, when these two types of metrics are fused based on the model-level fusion with the maximum rule, the performance can be boosted by a large margin and outperform state-of-the-art JIT-SDP baselines.","Just-in-time defect prediction, Multi-objective optimization, Expert metrics, Semantic metrics, Metric fusion",
Journal Article,"Liu Y,Zhang W,Qin G,Zhao J",A comparative study on the effect of data imbalance on software defect prediction,Procedia Computer Science,2022,10.1016/j.procs.2022.11.349,http://dx.doi.org/10.1016/j.procs.2022.11.349;https://www.sciencedirect.com/science/article/pii/S1877050922020610,214,,1603-1616,2022,1877-0509,"In the current stage, software defect prediction is suffering the imbalanced data problem. Traditional methods are insensitive to defect-prone modules and tend to predict defect-prone modules as defect-free modules. To deal with this problem, sampling techniques are adopted to rebalance the defect-prone and defect-free data to train the predictive model in order to improve the performance. However, it is not clear on the combined effect of the sampling techniques and the machine learning classifiers on the performance of software defect prediction. The intent of the paper is to study the performance impact on defect prediction incurred by different combinations of sampling techniques and machine learning classifiers. Specifically, we investigate three types of sampling techniques as resampling, spread subsampling and SMOTE (Synthetic Minority Over-sampling Technique), and five types of machine learning classifiers as C4.5, naive Bayes, logistic regression, support vector machine and deep learning to study their combined effect on defect prediction. By using the Friedman test and Nemenyi test, we find that there isn't an optimal method among all the 12 combinations in defect prediction. However, support vector machine and deep learning have produced the best performance stably among all the investigated projects. With ANOVA analysis, we find that the sampling techniques have great impact on the outcomes of defect prediction because they produce different data distributions for model training. Nevertheless, the sampling proportion has significant impacts on TPR (True Positive Ratio) and FPR (False Positive Ratio) while it can merely influence the AUC (Area under Curve) and Balance of logistic regression. We explain the experimental results in the paper.","software defect prediction, data imbalance, sampling techniques, machine learning",9th International Conference on Information Technology and Quantitative Management
Journal Article,"Zhao L,Shang Z,Zhao L,Zhang T,Tang YY",Software defect prediction via cost-sensitive Siamese parallel fully-connected neural networks,Neurocomputing,2019,10.1016/j.neucom.2019.03.076,http://dx.doi.org/10.1016/j.neucom.2019.03.076;https://www.sciencedirect.com/science/article/pii/S0925231219305004,352,,64-74,2019,0925-2312,"Software defect prediction (SDP) has caused widespread concern among software engineering researchers, which aims to erect a software defect predictor according to historical data. However, it is still difficult to develop an effective SDP model on high-dimensional and limited data. In this study, a novel SDP model for this problem is proposed, called Siamese parallel fully-connected networks (SPFCNN), which combines the advantages of Siamese networks and deep learning into a unified method. And training this model is administered by AdamW algorithm for finding the best weights. The minimum value of a singular formula is the target of training for SPFCNN model. Significantly, we extensively compared SPFCNN method with the state-of-the-art SDP approaches using six openly available datasets from the NASA repository. Six indexes are used to evaluate the performance of the proposed method. Experimental results showed that the SPFCNN method contributes to significantly higher performance compared with benchmarked SDP approaches, indicating that a cost-sensitive neural network could be developed successfully for SDP.","Siamese parallel fully-connected networks, Cost-sensitive learning, Deep learning, Few-shot learning, Software defect prediction",
Journal Article,"Qiao L,Li X,Umer Q,Guo P",Deep learning based software defect prediction,Neurocomputing,2020,10.1016/j.neucom.2019.11.067,http://dx.doi.org/10.1016/j.neucom.2019.11.067;https://www.sciencedirect.com/science/article/pii/S0925231219316698,385,,100-110,2020,0925-2312,"Software systems have become larger and more complex than ever. Such characteristics make it very challengeable to prevent software defects. Therefore, automatically predicting the number of defects in software modules is necessary and may help developers efficiently to allocate limited resources. Various approaches have been proposed to identify and fix such defects at minimal cost. However, the performance of these approaches require significant improvement. Therefore, in this paper, we propose a novel approach that leverages deep learning techniques to predict the number of defects in software systems. First, we preprocess a publicly available dataset, including log transformation and data normalization. Second, we perform data modeling to prepare the data input for the deep learning model. Third, we pass the modeled data to a specially designed deep neural network-based model to predict the number of defects. We also evaluate the proposed approach on two well-known datasets. The evaluation results illustrate that the proposed approach is accurate and can improve upon the state-of-the-art approaches. On average, the proposed method significantly reduces the mean square error by more than 14% and increases the squared correlation coefficient by more than 8%.","Software defect prediction, Deep learning, Software quality, Software metrics, Robustness evaluation",
Journal Article,"Battulga B,Tsoodol L,Dovdon E,Bold N,Namsrai OE",Metric-based defect prediction from class diagram,Array,2025,10.1016/j.array.2025.100438,http://dx.doi.org/10.1016/j.array.2025.100438;https://www.sciencedirect.com/science/article/pii/S2590005625000657,27,,100438,2025,2590-0056,"A software defect refers to a fault, failure, or error in software. With the rapid development and increasing reliance on software products, it is essential to identify these defects as early and easily as possible, given the efforts and budget invested in their creation and maintenance. In the literature, various approaches such as machine learning (ML) and deep learning (DL), have been proposed and proven effective in detecting defects in source code during the implementation or testing phases of the software development life cycle (SDLC). A promising approach is crucial for predicting defects at earlier stages of the SDLC, particularly during the design phase, with the goal of enhancing software quality while reducing time, effort, and costs. Meanwhile, software metrics provide a quantifiable way to analyze the software, making it easier to identify defects. Many researchers have leveraged these metrics to predict defects using ML and DL methods, achieving state-of-the-art performance. The objective of this paper is to present a novel approach to predict defects in class diagram (i.e., at design stage) using ML and DL with software metrics. Due to a lack of defect datasets extracted from class diagram, firstly, we created a model-based metric dataset using reverse engineering from a code-based dataset. Then, we apply various ML and DL techniques to the newly created dataset to predict defects in classes by classifying them as either defective or clean. The study utilizes a large dataset called the Unified Bug Dataset, which comprises five publicly available sub-datasets. We compare ML and DL models in terms of accuracy, precision, recall, F-measure, AUC and provide a performance comparison against code-based methods. Finally, we conducted a cross-dataset experiment to evaluate the generalizability of our approach.","Software defect prediction, UML Class diagram, Machine learning, Deep learning, Object oriented design metrics, Reverse-engineering, Software quality, Empirical software engineering",
Journal Article,"Zhao Z,Yang B,Li G,Liu H,Jin Z",Precise Learning of Source Code Contextual Semantics via Hierarchical Dependence Structure and Graph Attention Networks,Journal of Systems and Software,2022,10.1016/j.jss.2021.111108,http://dx.doi.org/10.1016/j.jss.2021.111108;https://www.sciencedirect.com/science/article/pii/S0164121221002053,184,,111108,2022,0164-1212,"Deep learning is being used extensively in a variety of software engineering tasks, e.g., program classification and defect prediction. Although the technique eliminates the required process of feature engineering, the construction of source code model significantly affects the performance on those tasks. Most recent works was mainly focused on complementing AST-based source code models by introducing contextual dependencies extracted from CFG. However, all of them pay little attention to the representation of basic blocks, which are the basis of contextual dependencies. In this paper, we integrated AST and CFG and proposed a novel source code model embedded with hierarchical dependencies. Based on that, we also designed a neural network that depends on the graph attention mechanism. Specifically, we introduced the syntactic structural of the basic block, i.e., its corresponding AST, in source code model to provide sufficient information and fill the gap. We have evaluated this model on three practical software engineering tasks and compared it with other state-of-the-art methods. The results show that our model can significantly improve the performance. For example, compared to the best performing baseline, our model reduces the scale of parameters by 50% and achieves 4% improvement on accuracy on program classification task.","Graph neural network, Program analysis, Deep learning, Abstract syntax Tree, Control flow graph",
Journal Article,"Giray G,Bennin KE,Köksal Ö,Babur Ö,Tekinerdogan B",On the use of deep learning in software defect prediction,Journal of Systems and Software,2023,10.1016/j.jss.2022.111537,http://dx.doi.org/10.1016/j.jss.2022.111537;https://www.sciencedirect.com/science/article/pii/S0164121222002138,195,,111537,2023,0164-1212,"Context: Automated software defect prediction (SDP) methods are increasingly applied, often with the use of machine learning (ML) techniques. Yet, the existing ML-based approaches require manually extracted features, which are cumbersome, time consuming and hardly capture the semantic information reported in bug reporting tools. Deep learning (DL) techniques provide practitioners with the opportunities to automatically extract and learn from more complex and high-dimensional data. Objective: The purpose of this study is to systematically identify, analyze, summarize, and synthesize the current state of the utilization of DL algorithms for SDP in the literature. Method: We systematically selected a pool of 102 peer-reviewed studies and then conducted a quantitative and qualitative analysis using the data extracted from these studies. Results: Main highlights include: (1) most studies applied supervised DL; (2) two third of the studies used metrics as an input to DL algorithms; (3) Convolutional Neural Network is the most frequently used DL algorithm. Conclusion: Based on our findings, we propose to (1) develop more comprehensive DL approaches that automatically capture the needed features; (2) use diverse software artifacts other than source code; (3) adopt data augmentation techniques to tackle the class imbalance problem; (4) publish replication packages.","Software defect prediction, Deep learning, Quality assurance, Systematic literature review",
Journal Article,"Abdu A,Zhai Z,Abdo HA,Algabri R,Lee S",Graph-Based Feature Learning for Cross-Project Software Defect Prediction,"Computers, Materials and Continua",2023,10.32604/cmc.2023.043680,http://dx.doi.org/10.32604/cmc.2023.043680;https://www.sciencedirect.com/science/article/pii/S1546221823000851,77,1,161-180,2023,1546-2218,"Cross-project software defect prediction (CPDP) aims to enhance defect prediction in target projects with limited or no historical data by leveraging information from related source projects. The existing CPDP approaches rely on static metrics or dynamic syntactic features, which have shown limited effectiveness in CPDP due to their inability to capture higher-level system properties, such as complex design patterns, relationships between multiple functions, and dependencies in different software projects, that are important for CPDP. This paper introduces a novel approach, a graph-based feature learning model for CPDP (GB-CPDP), that utilizes NetworkX to extract features and learn representations of program entities from control flow graphs (CFGs) and data dependency graphs (DDGs). These graphs capture the structural and data dependencies within the source code. The proposed approach employs Node2Vec to transform CFGs and DDGs into numerical vectors and leverages Long Short-Term Memory (LSTM) networks to learn predictive models. The process involves graph construction, feature learning through graph embedding and LSTM, and defect prediction. Experimental evaluation using nine open-source Java projects from the PROMISE dataset demonstrates that GB-CPDP outperforms state-of-the-art CPDP methods in terms of F1-measure and Area Under the Curve (AUC). The results showcase the effectiveness of GB-CPDP in improving the performance of cross-project defect prediction.","Cross-project defect prediction, graphs features, deep learning, graph embedding",
Journal Article,"Majd A,Vahidi-Asl M,Khalilian A,Poorsarvi-Tehrani P,Haghighi H",SLDeep: Statement-level software defect prediction using deep-learning model on static code features,Expert Systems with Applications,2020,10.1016/j.eswa.2019.113156,http://dx.doi.org/10.1016/j.eswa.2019.113156;https://www.sciencedirect.com/science/article/pii/S0957417419308735,147,,113156,2020,0957-4174,"Software defect prediction (SDP) seeks to estimate fault-prone areas of the code to focus testing activities on more suspicious portions. Consequently, high-quality software is released with less time and effort. The current SDP techniques however work at coarse-grained units, such as a module or a class, putting some burden on the developers to locate the fault. To address this issue, we propose a new technique called as Statement-Level software defect prediction using Deep-learning model (SLDeep). The significance of SLDeep for intelligent and expert systems is that it demonstrates a novel use of deep-learning models to the solution of a practical problem faced by software developers. To reify our proposal, we defined a suite of 32 statement-level metrics, such as the number of binary and unary operators used in a statement. Then, we applied as learning model, long short-term memory (LSTM). We conducted experiments using 119,989 C/C++ programs within Code4Bench. The programs comprise 2,356,458 lines of code of which 292,064 lines are faulty. The benchmark comprises a diverse set of programs and versions, written by thousands of developers. Therefore, it tends to give a model that can be used for cross-project SDP. In the experiments, our trained model could successfully classify the unseen data (that is, fault-proneness of new statements) with average performance measures 0.979, 0.570, and 0.702 in terms of recall, precision, and accuracy, respectively. These experimental results suggest that SLDeep is effective for statement-level SDP. The impact of this work is twofold. Working at statement-level further alleviates developer's burden in pinpointing the fault locations. Second, cross-project feature of SLDeep helps defect prediction research become more industrially-viable.","Defect, Software fault proneness, Machine learning, Fault prediction model, Software metric",
Journal Article,"Batool I,Khan TA","Software fault prediction using data mining, machine learning and deep learning techniques: A systematic literature review",Computers and Electrical Engineering,2022,10.1016/j.compeleceng.2022.107886,http://dx.doi.org/10.1016/j.compeleceng.2022.107886;https://www.sciencedirect.com/science/article/pii/S0045790622001744,100,,107886,2022,0045-7906,"Software fault/defect prediction assists software developers to identify faulty constructs, such as modules or classes, early in the software development life cycle. There are data mining, machine learning, and deep learning techniques used for software fault prediction. We perform analysis of previously published reviews, surveys, and related studies to distill a list of questions. These questions were either answered in the past but needed a fresh look or they were not considered at all. We justify why answers to newly added questions are important and divide previous work based on data mining, machine learning, and deep learning and compare their performance. We study which datasets were commonly used and what comparison criteria were mostly adopted for software fault prediction. We select 68 primary studies from a wide list of initially selected set following our quality assessment criteria and present answers to our research questions.","Software fault prediction, Defect prediction, Machine learning techniques, Data mining techniques, Deep learning techniques, Performance measures",
